page,comment_id,comment_text,comment_time,comment_url,commenter_name,commenter_url,replies_number,post_id
Microsoft.Polska,1886196431567680,Tak pomagacie ludziom,2021-12-02 08:57:45,https://facebook.com/1886196431567680,Jerzy Ziemniak,https://facebook.com/jerzy.ziemniak?fref=nf&rc=p&refid=52&__tn__=R,0,1883106995209957
Microsoft.Polska,1886620114858645,"Zgadzam się że jest motorem napędowym postępu gospodarczo-spo
łecznego  jednak nie jest taka prosta do przeprowadzenia
. W Polsce w firmach brakuje często kompetentnych w tym temacie pracowników  a szefostwo czasami nie wie jak to ugryźć itd. Dobrze że powstają takie inicjatywy jak platforma przemysłu przyszłości  gdzie można czerpać wiedzę wprost od ekspertów z branży w zakresie cyfryzacji przemysłu.",2021-12-02 08:57:48,https://facebook.com/1886620114858645,Zuzanna Domska,https://facebook.com/zuzanna.domska.5?fref=nf&rc=p&refid=52&__tn__=R,0,1883106995209957
Microsoft.Polska,1882711781916145,Na chmurę przystanek nie potrzebny,2021-11-25 08:57:53,https://facebook.com/1882711781916145,Artur Jaktorski,https://facebook.com/artur.jaktorski.9?fref=nf&rc=p&refid=52&__tn__=R,0,1882395381947785
Microsoft.Polska,1881673965353260,To jest chore. Padlem ofiara kradziezy z waszego konta a z wami nie ma sie jak skontaktowac,2021-11-25 08:57:59,https://facebook.com/1881673965353260,Łukasz Bojko,https://facebook.com/profile.php?id=100045167483919&fref=nf&rc=p&refid=52&__tn__=R,0,1881046582082665
Microsoft.Polska,1886196548234335,Jerzy Ziemniak,2021-12-02 08:58:02,https://facebook.com/1886196548234335,Jerzy Ziemniak,https://facebook.com/jerzy.ziemniak?fref=nf&rc=p&refid=52&__tn__=R,0,1881046582082665
Microsoft.Polska,1873975432789780,Kochana,2021-11-09 08:58:12,https://facebook.com/1873975432789780,Edward Prochon,https://facebook.com/edward.prochon.9?fref=nf&rc=p&refid=52&__tn__=R,0,1873196659534324
Microsoft.Polska,1861186994068624,W jaki sposób można się skontaktować z obsługą techniczną Microsoft? Wysłałem do Was wiadomość w zeszłym tygodniu opisując swój problem. Zostałem zapytany o kilka dodatkowych informacji więc na nie odpowiedziałem ale od 4 dni zero odezwu. Linie telefoniczne odsyłają do internetu  w którym nie ma żadnej odpowiedzi na mój problem. Czy jest szansa  że uzyskam jakąś odpowiedź  czy mam zwrócić się o pomoc do Rzecznika Praw Konsumentów?,2021-11-09 08:58:30,https://facebook.com/1861186994068624,Daniel Kurek,https://facebook.com/daniel.kurek.37?fref=nf&rc=p&refid=52&__tn__=R,0,1860288384158485
Microsoft.Polska,1864088880445102,"@Proszę o pomoc w powrocie do zdrowia  bliższe info na stronie:
https://
www.fundacjaaval
on.pl/
nasi_beneficjenc
i/
pawel_chrostek_4
04.html
Liczę na każdy 1% podatku co roku ??

Jest znowu pomoc w postaci sms`a
Sms na numer: 75 165 o treści: POMOC 404
Wysyłając tego sms`a dostaje na konto 5 zł @@

Program do rozliczania Pitów:
https://
www.e-pity.pl/
pity-2018/sub/
program-online-e
pity-2019-KRS-0
000270809-\-\404
Pomóc również można mi po przez zakup twórczości mojej Mamy na aukcji allegro:
https://
allegro.pl/
charytatywni/
fundacja-avalon-
bezposrednia-po
moc-niepelnospr
awnym/cele/
pomoc-dla-pawla-
chrostka-subkon
to-404-1
https://
www.art-malarstw
o.pl/

Za wszelką pomoc bardzo dziękuję.",2021-11-09 08:58:33,https://facebook.com/1864088880445102,Paweł Konrad Chrostek,https://facebook.com/PawelChrostekk?fref=nf&rc=p&refid=52&__tn__=R,0,1860288384158485
Microsoft.Polska,1860094747511182,😕szkoda że firma Microsoft Polska nie odpowiada na korespondencję ..... nie ma chyba tez adresu email ????,2021-11-09 08:58:39,https://facebook.com/1860094747511182,Pawel Maslow,https://facebook.com/pawel.maslow?fref=nf&rc=p&refid=52&__tn__=R,0,1853489981504992
Microsoft.Polska,1848489218671735,Mam od kilku dni w ramach Windows Insider. Zaskoczyło mnie menu start  które nic nie wnosi  a raczej sprawia wrażenie gorszego. Przesunięcie ikonek na środek paska zadań też nic nie wnosi. Jedynie panel sterowania jest bardziej przejrzysty i funkcjonalny. Nie widzę żadnego sensu w przechodzeniu do tego systemu bo nic nie wnosi.,2021-10-09 08:59:00,https://facebook.com/1848489218671735,Tomek Holwek,https://facebook.com/profile.php?id=100004299675825&fref=nf&rc=p&__tn__=R,1,1848477828672874
Microsoft.Polska,1848495645337759,mam od 2tyg i generalnie szału nie ma  du*y nie urywa  w grach jest strasznie niestabilny,2021-10-09 08:59:03,https://facebook.com/1848495645337759,Krisu Dredu,https://facebook.com/Dredu.aka.Krisu?fref=nf&rc=p&__tn__=R,0,1848477828672874
Microsoft.Polska,1848563418664315,"Moje jedyne życzenie jest takie  żeby Teams zaczął szybciej działać. Niestety obecnie pożera gigantyczne ilości pamięci i mocy procesora. Przy wideokonferencj
i na ekranie 4k praktycznie nie da się pracować. Problem obserwowany u wszystkich współpracownika
ch i znajomych.",2021-10-09 08:59:07,https://facebook.com/1848563418664315,Adam Nowak,https://facebook.com/adam.nowak.86?fref=nf&rc=p&__tn__=R,1,1848477828672874
Microsoft.Polska,1882280408625949,Serdeczne gratulacje 🥀🍀🥀,2021-11-25 08:59:14,https://facebook.com/1882280408625949,Krzysztof Kowalczyk,https://facebook.com/krzysztof.kowalczyk.927?fref=nf&rc=p&refid=52&__tn__=R,0,1843728859147771
Microsoft.Polska,1886247884895868,Jerzy Ziemniak,2021-12-02 08:59:17,https://facebook.com/1886247884895868,Jerzy Ziemniak,https://facebook.com/jerzy.ziemniak?fref=nf&rc=p&refid=52&__tn__=R,0,1843728859147771
Microsoft.Polska,1886247984895858,Gratulacje 😉,2021-12-02 08:59:20,https://facebook.com/1886247984895858,Jerzy Ziemniak,https://facebook.com/jerzy.ziemniak?fref=nf&rc=p&refid=52&__tn__=R,0,1843728859147771
Microsoft.Polska,1841384386048885,Czy będzie udostępnione ogólnodostępne API?,2021-10-09 08:59:26,https://facebook.com/1841384386048885,Piotr Machowski,https://facebook.com/Machowski3.14?fref=nf&rc=p&refid=52&__tn__=R,0,1840943346092989
Microsoft.Polska,1829968660523791,Guys...I don't think so Krakow is Łódzkie Wojewoda. Kraków to nie Łódzkie 🙂,2021-09-09 08:59:44,https://facebook.com/1829968660523791,Damian Kowalski,https://facebook.com/damian.djdamiano?fref=nf&rc=p&refid=52&__tn__=R,0,1828869220633735
Microsoft.Polska,1832053040315353,All roads lead to Łódź 😆,2021-09-09 08:59:47,https://facebook.com/1832053040315353,Tomek Adamski,https://facebook.com/tomek.adamski.754?fref=nf&rc=p&refid=52&__tn__=R,0,1828869220633735
Microsoft.Polska,1825270604326930,Super sprawa dla pacjentów,2021-09-09 08:59:53,https://facebook.com/1825270604326930,Bozena Trzcialkowska,https://facebook.com/bozena.trzcialkowska.714?fref=nf&rc=p&refid=52&__tn__=R,0,1824324214421569
Microsoft.Polska,1825379314316059,.,2021-09-09 08:59:56,https://facebook.com/1825379314316059,Barbara Pomoryn,https://facebook.com/barbara.pomoryn?fref=nf&rc=p&refid=52&__tn__=R,0,1824324214421569
Microsoft.Polska,1886248624895794,Zróbcie dobry stabilny system operacyjny,2021-12-02 09:00:04,https://facebook.com/1886248624895794,Jerzy Ziemniak,https://facebook.com/jerzy.ziemniak?fref=nf&rc=p&refid=52&__tn__=R,0,1819153468271977
Microsoft.Polska,1886250121562311,Jerzy Ziemniak,2021-12-02 09:00:07,https://facebook.com/1886250121562311,Jerzy Ziemniak,https://facebook.com/jerzy.ziemniak?fref=nf&rc=p&refid=52&__tn__=R,0,1819153468271977
Microsoft.Polska,1762446500609341,os u Ciebie,2021-06-09 09:01:55,https://facebook.com/1762446500609341,Mateusz Kuboszek,https://facebook.com/mateusz.kuboszek?fref=nf&rc=p&refid=52&__tn__=R,0,1751763101677681
Microsoft.Polska,1766056723581652,Ciekawy ten Microsoft po rozwodzie :-),2021-06-09 09:01:58,https://facebook.com/1766056723581652,SK Grześ,https://facebook.com/grzegorz.skowronski.967?fref=nf&rc=p&refid=52&__tn__=R,0,1751763101677681
Microsoft.Polska,1767987853388539,No i zobacz  jak ten szybko ucieka Kornelia Jakszuk  za chwilę będziecie mieli problem  dokąd wyszedł...🤣🤭,2021-06-09 09:02:01,https://facebook.com/1767987853388539,Jadwiga Pe,https://facebook.com/jadwiga.psiuk?fref=nf&rc=p&refid=52&__tn__=R,0,1751763101677681
Microsoft.Polska,1746935405493784,"Witam serdecznie. Nie wiem czy dobrze kieruje swoje pytanie  ale chciałbym zapytać Państwa o jedną rzecz :) Chodzi mi o dostępność konsoli poprzedniej generacji  czyli XBOX ONE S (model z 500 GB lub 1TB). Nie można jej obecnie dostać w oficjalnej sprzedaży chociaż nigdzie nie znalazłem informacji o zakończeniu przez Państwa jej produkcji  na wikipedii angielskojęzycz
nej wisi informacji  że cykl życia produktu jeszcze nie został zakończony. Wiem  że konsole były jeszcze dostępne jakoś w okolicach marca obecnego roku. Czy zakończyliście produkcję modelu XBOX ONE S już całkowicie i nie będzie można się spodziewać jego kolejnej partii na półkach sklepowych? Pozdrawiam",2021-05-09 09:02:10,https://facebook.com/1746935405493784,Aleksander Olek Makuch,https://facebook.com/profile.php?id=100014470445516&fref=nf&rc=p&refid=52&__tn__=R,1,1746838185503506
Microsoft.Polska,1725893617597963,Super,2021-05-09 09:02:35,https://facebook.com/1725893617597963,Maria Magdalena Kwiatkowska,https://facebook.com/magdakwiat19570821?fref=nf&rc=p&refid=52&__tn__=R,0,1723960264457965
Microsoft.Polska,1718728614981130,dhkpc-server restart,2021-04-09 09:02:46,https://facebook.com/1718728614981130,Fatih Erikli,https://facebook.com/sugecirmezat?fref=nf&rc=p&refid=52&__tn__=R,0,1716750175178974
Microsoft.Polska,1705971699590155,Bardzo mnie to dziwi  że mogę pójść do sklepu papierniczego  kupić długopis i poprosić o fakturę VAT dla mojej jednoosobowej działalności  ale za program  który rocznie kosztuje 300 zł faktury już nie otrzymam. Argumentu  że mogę zapłacić jeszcze więcej i wtedy dostać taką fakturę zupełnie nie rozumiem.,2021-04-09 09:03:01,https://facebook.com/1705971699590155,Magdalena Fowler,https://facebook.com/magdalena.fowler.18?fref=nf&rc=p&refid=52&__tn__=R,0,1701045483416110
Microsoft.Polska,1709584435895548,I jeszcze jedna sprawa  bank poinformował mnie  że za przyjemność zapłaty kartą za przedłużenie subskrypcji Microsoft musiałam zapłacić 4% kwoty  czyli 12 zł. Dlaczego nie informujecie klientów  że płatność jest wykonywana przez zagranicznego operatora? W mojej opinii to zatajanie informacji  co skutkuje dodatkowymi opłatami dla klientów. Płacąc za subskrypcję nigdzie było informacji  że będę musiała ponieść taką opłatę. I naprawdę nie chodzi mi o te 12 zł  ale o fakt  że wszyscy Polacy korzystający z konta biznesowego ponoszą dodatkowe koszty nawet o tym nie wiedząc.,2021-04-09 09:03:04,https://facebook.com/1709584435895548,Magdalena Fowler,https://facebook.com/magdalena.fowler.18?fref=nf&rc=p&refid=52&__tn__=R,0,1701045483416110
Microsoft.Polska,1695146124006046,SE,2021-03-09 09:03:14,https://facebook.com/1695146124006046,Sabina Bazel,https://facebook.com/sabina.bazel?fref=nf&rc=p&refid=52&__tn__=R,0,1693650214155637
